Measurement,Name,Label,Label2
Glucose_post,Blood glucose: post-infection,"""Blood glucose at cull (log""[2]~""mM)""","""Blood glucose at cull (mM)"""
Glucose_pre,Blood glucose: pre-infection,"""Blood glucose at baseline (log""[2]~""mM)""","""Blood glucose at baseline (mM)"""
Bodyweight_0,"Body weight: absolute, 0 hpi","""Body weight at 0 hpi (log""[2]~""g)""","""Body weight at 0 hpi (g)"""
Bodyweight_8,"Body weight: absolute, 8 hpi","""Body weight at 8 hpi (log""[2]~""g)""","""Body weight at 8 hpi (g)"""
Bodyweight_24,"Body weight: absolute, 24 hpi","""Body weight at 24 hpi (log""[2]~""g)""","""Body weight at 24 hpi (g)"""
Perc.Bodyweight_8,"Body weight: relative, 8 hpi","""Body weight at 8 hpi (log""[2]~""%)""","""Body weight at 8 hpi (%)"""
Perc.Bodyweight_24,"Body weight: relative, 24 hpi","""Body weight at 24 hpi (log""[2]~""%)""","""Body weight at 24 hpi (%)"""
Weightloss_abs,"Body weight: weight loss, absolute","""Absolute weight loss (g)""","""Absolute weight loss (g)"""
AUC.bw,"Body weight: weight loss, relative","""Relative weight loss (AUC)""","""Relative weight loss (AUC)"""
ELISA_Serum_GDF15,ELISA: Serum GDF15,"""Serum GDF15 (log""[2]~""pg/ml)""","""Serum GDF15 (pg/ml)"""
Food_post,Food intake: post-infection,"""Food intake after infection (log""[2]~""g per day)"" ","""Food intake after infection (g per day)"""
Food_pre,Food intake: pre-infection,"""Food intake before infection (log""[2]~""g per day)"" ","""Food intake before infection (g per day)"""
Histo_HE_Foci,"Histology: H&E, Foci area","""Foci area (log""[2]~mu*""m""^2*"")""","""Foci area (""*mu*""m""^2*"")"""
Histo_HE_Foci.Tissue,"Histology: H&E, Foci per tissue","""Foci area per tissue area (log""[2]*"")""","""Foci area per tissue area"""
Histo_PAS_Foci,"Histology: PAS, Foci area","""Foci area (log""[2]~mu*""m""^2*"")""","""Foci area (""*mu*""m""^2*"")"""
Histo_PAS_Foci.Tissue,"Histology: PAS, Foci per tissue","""Foci area per tissue area (log""[2]*"")""","""Foci area per tissue area"""
Histo_PAS_Fungi,"Histology: PAS, Fungi area","""Fungi area (log""[2]~mu*""m""^2*"")""","""Fungi area (""*mu*""m""^2*"")"""
Histo_PAS_Fungi.Foci,"Histology: PAS, Fungi per foci","""Fungi area per foci area (log""[2]*"")""","""Fungi area per foci area"""
Histo_PAS_Fungi.Tissue,"Histology: PAS, Fungi per tissue","""Fungi area per tissue area (log""[2]*"")""","""Fungi area per tissue area"""
Infection_age,Miscellaneous: Age at infection,"""Age at infection (log""[2]~""wks)""","""Age at infection (wks)"""
KIF,Miscellaneous: Kidney interstitial fluid volume,"""Kidney interstitial fluid (log""[2]~mu*""l)""","""Kidney interstitial fluid (""*mu*""l)"""
hrs_to_cull,Miscellaneous: Time to cull,"""Time to cull (log""[2]~""h)""","""Time to cull (h)"""
Organweight_Kidney_rel,"Organ weight, relative: Kidney","""Right kidney (log""[2]~""g per g body weight)""","""Right kidney (g per g body weight)"""
Organweight_Lung_rel,"Organ weight, relative: Lung","""Lungs (log""[2]~""g per g body weight)""","""Lungs (g per g body weight)"""
Organweight_Kidney,"Organ weight: absolute, Kidney","""Right kidney (log""[2]~""g)""","""Right kidney (g)"""
Organweight_Lung,"Organ weight: absolute, Lung","""Lungs (log""[2]~""g)""","""Lungs (g)"""
qPCR_RE_18S,qPCR: Fungal 18S,"""Fungal""~italic(""18S"")~""(log""[2]~""RE vs. mouse""~italic(""Tbp"")*"")""","""Fungal""~italic(""18S"")~""(RE vs. mouse""~italic(""Tbp"")*"")"""
qPCR_RE_RDN25,qPCR: Fungal RDN25,"""Fungal""~italic(""RDN25"")~""(log""[2]~""RE vs. mouse""~italic(""Tbp"")*"")""","""Fungal""~italic(""RDN25"")~""(RE vs. mouse""~italic(""Tbp"")*"")"""
