Mass,RT,FORMULA,Isomers,Label,Confidence,Standard,Category
125.998687,6.604855363,C2H6O4S,2,2-Hydroxyethanesulfonate,10,TRUE,
148.0371633,10.85667961,C5H8O5,15,2-Hydroxyglutaric acid,10,TRUE,
206.0426748,12.64102675,C7H10O7,5,2-Methylcitric acid,8,TRUE,
104.0473661,5.583293529,C4H8O3,11,3-Hydroxybutyric acid,10,TRUE,
185.9929529,12.91670447,C3H7O7P,2,3-Phosphoglyceric acid,10,TRUE,
145.085169,10.00466719,C5H11N3O2,3,4-Guanidinobutanoic acid,10,TRUE,
136.0523711,2.996279029,C8H8O2,27,4-Hydroxyphenylacetaldehyde,10,TRUE,
183.053118,2.969813956,C8H9NO4,7,4-Pyridoxic acid,8,TRUE,
246.0852467,5.999167238,C9H14N2O6,2,"5,6-Dihydrouridine",7,TRUE,
257.1010639,6.548110348,C10H15N3O5,2,5-Methylcytidine,7,TRUE,
203.1153819,6.790687085,C9H17NO4,3,Acetylcarnitine,10,TRUE,
404.5631021,8.911088018,C23H38N7O17P3S,1,Acetyl-CoA,10,TRUE,TCA
135.0544444,5.717833341,C5H5N5,2,Adenine,10,TRUE,
267.0967817,5.416058103,C10H13N5O4,6,Adenosine,10,TRUE,
347.0630409,9.596654289,C10H14N5O7P,10,Adenosine monophosphate,10,TRUE,
384.1217387,9.02750174,C14H20N6O5S,2,Adenosylhomocysteine,8,TRUE,
427.0295319,11.15703837,C10H15N5O10P2,5,ADP,10,TRUE,
89.04764396,9.628274077,C3H7NO2,9,Alanine,8,TRUE,AA
158.0440509,8.454320693,C4H6N4O3,1,Allantoin,8,TRUE,
103.0632547,8.826750938,C4H9NO2,17,alpha-Aminobutyric acid,9,TRUE,
161.0687914,10.42290751,C6H11NO4,12,Aminoadipic acid,10,TRUE,
174.1116555,18.50724179,C6H14N4O2,1,Arginine,10,TRUE,AA
132.0534518,10.34730763,C4H8N2O3,6,Asparagine,10,TRUE,AA
133.0374753,10.42609512,C4H7NO4,3,Aspartic acid,10,TRUE,AA
188.104856,7.258563396,C9H16O4,12,Azelaic acid,7,TRUE,
244.0882675,5.281329328,C10H16N2O3S,1,Biotin,8,TRUE,
144.1150036,2.75675427,C8H16O2,43,Caprylic acid,10,TRUE,
201.1364953,2.753197299,C10H19NO3,4,Capryloylglycine,9,TRUE,
161.1050289,8.594206484,C7H15NO3,3,Carnitine,10,TRUE,
