ID,Mouse,Cage,Genotype,Phenotype,Sex,DoB,Treatment,Group,Exclude,KIF
3905,1,205,Homo,Diabetic,Male,10/09/2025,PBS,T2D_PBS,FALSE,8
3903,2,205,+/+,Control,Male,10/09/2025,PBS,Con_PBS,FALSE,2
3906,3,206,+/+,Control,Male,10/09/2025,Candida,Con_Can,FALSE,3
3913,4,206,Homo,Diabetic,Male,12/09/2025,Candida,T2D_Can,FALSE,6
3914,5,207,Homo,Diabetic,Male,12/09/2025,Candida,T2D_Can,FALSE,4
3912,6,207,Het,Control,Male,12/09/2025,Candida,Con_Can,FALSE,2
3918,7,208,Homo,Diabetic,Male,13/09/2025,Candida,T2D_Can,FALSE,7
3917,8,208,Het,Control,Male,13/09/2025,Candida,Con_Can,FALSE,3
3919,9,209,Homo,Diabetic,Male,13/09/2025,PBS,T2D_PBS,FALSE,5
3927,10,209,+/+,Control,Male,13/09/2025,PBS,Con_PBS,FALSE,3
3924,11,210,Homo,Diabetic,Male,13/09/2025,Candida,T2D_Can,FALSE,6
3928,12,210,Het,Control,Male,13/09/2025,Candida,Con_Can,TRUE,10
3933,13,211,Het,Control,Male,13/09/2025,PBS,Con_PBS,FALSE,4
3934,14,211,Homo,Diabetic,Male,13/09/2025,PBS,T2D_PBS,FALSE,5
3943,15,212,Homo,Diabetic,Male,15/09/2025,Candida,T2D_Can,FALSE,5
3944,16,212,+/+,Control,Male,15/09/2025,Candida,Con_Can,FALSE,5
3948,17,213,Homo,Diabetic,Male,16/09/2025,PBS,T2D_PBS,FALSE,2
3949,18,213,+/+,Control,Male,16/09/2025,PBS,Con_PBS,FALSE,4
3955,19,214,Homo,Diabetic,Male,21/09/2025,Candida,T2D_Can,FALSE,4
3961,20,214,+/+,Control,Male,23/09/2025,Candida,Con_Can,FALSE,4
3956,21,215,Homo,Diabetic,Male,21/09/2025,PBS,T2D_PBS,FALSE,6
3962,22,215,+/+,Control,Male,23/09/2025,PBS,Con_PBS,FALSE,1
3904,23,216,+/+,Control,Male,10/09/2025,PBS,Con_PBS,FALSE,3
3963,24,216,Het,Control,Male,23/09/2025,PBS,Con_PBS,FALSE,3
3950,25,217,+/+,Control,Male,16/09/2025,Candida,Con_Can,FALSE,4
